Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
30,1.0,0.0,0.0,599.0,10.0,110.0,1562.0,0.1,102.00700000000003,0.0,0.0,233.92726755142212,,,,,,,,,,,,,,,,,,,,,47.0737664025839,29.948726648070863,97.0228343415646,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,632.0,11.0,33.0,1595.0,0.1,24.00800000000001,0.0,0.0,237.25128769874573,,,,,,,,,,,,,,,,,,,,,9.746894898915384,8.252758814487558,23.733796327193858,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,722.0,12.0,90.0,1685.0,0.1,80.00900000000004,0.0,0.0,245.58395338058472,,,,,,,,,,,,,,,,,,,,,35.93226778624936,24.422910933910487,76.92887672380847,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,757.0,13.0,35.0,1720.0,0.1,28.006000000000007,0.0,0.0,249.0799539089203,,,,,,,,,,,,,,,,,,,,,12.290263267217338,9.31775308295952,27.631075305182463,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,812.0,14.0,55.0,1775.0,0.1,39.014999999999986,0.0,0.0,254.62340903282166,,,,,,,,,,,,,,,,,,,,,16.181277785181898,11.997677946205156,38.201394309038776,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,869.0,15.0,57.0,1832.0,0.1,50.005999999999986,0.0,0.0,260.0919418334961,,,,,,,,,,,,,,,,,,,,,22.868184944689116,15.649917086688525,48.80006478766327,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,902.0,16.0,33.0,1865.0,0.1,22.010000000000012,0.0,0.0,263.43334126472473,,,,,,,,,,,,,,,,,,,,,8.280838155930422,7.688712690906603,21.780271102788774,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,956.0,17.0,54.0,1919.0,0.1,46.006999999999984,0.0,0.0,268.60834765434265,,,,,,,,,,,,,,,,,,,,,20.560094178136882,14.66075741624729,44.98668329428589,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,989.0,18.0,33.0,1952.0,0.1,26.006000000000007,0.0,0.0,271.91442012786865,,,,,,,,,,,,,,,,,,,,,11.331051358107485,8.722639363290158,25.683416454675356,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1049.0,19.0,60.0,2012.0,0.1,49.00999999999998,0.0,0.0,277.83511233329773,,,,,,,,,,,,,,,,,,,,,20.899377870440496,15.863011372841918,47.85169286180433,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1087.0,20.0,38.0,2050.0,0.1,30.00700000000001,0.0,0.0,281.5740306377411,,,,,,,,,,,,,,,,,,,,,12.903069116994743,10.004807174852148,29.57580540856593,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,110.0,1.0,110.0,2160.0,0.1,98.01100000000005,0.0,0.0,389.4308989048004,,,,,,,,,,,,,,,,,,,,,43.56585467878494,29.599195570825607,93.405473526914,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,173.0,2.0,63.0,2223.0,0.1,52.00999999999998,0.0,0.0,395.33375239372253,,,,,,,,,,,,,,,,,,,,,22.31869156909213,16.72960458151505,50.7052822904458,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,213.0,3.0,40.0,2263.0,0.1,31.00800000000001,0.0,0.0,399.5401849746704,,,,,,,,,,,,,,,,,,,,,13.046788490215466,10.38485643130673,30.547192297794677,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,417.0,4.0,204.0,2467.0,0.1,182.0210000000001,0.0,0.0,417.69221329689026,,,,,,,,,,,,,,,,,,,,,78.78419454748793,51.067990978831524,166.281420872637,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,440.0,5.0,23.0,2490.0,0.1,15.006999999999996,0.0,0.0,420.1113660335541,,,,,,,,,,,,,,,,,,,,,5.8461320884418475,5.373576851069682,14.902328717071263,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,689.0,6.0,249.0,2739.0,0.1,241.00700000000003,0.0,0.0,441.9276349544525,,,,,,,,,,,,,,,,,,,,,109.14335025047248,63.88549802361805,214.2586087465169,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,781.0,7.0,92.0,2831.0,0.1,77.01400000000007,0.0,0.0,450.41744112968445,,,,,,,,,,,,,,,,,,,,,32.64727108535686,24.250712051974652,74.15869429003295,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
